Time,Date,Fragment,Picture: T0,File,AOI,Genotype,Nutrients,Heat Stressed?,Treatment
1,2020-11-13,A077,1,1.csv,1,Elkhorn,NH4,No,NH4
1,2020-11-13,220,1,1.csv,4,FM9,NH4,No,NH4
1,2020-11-13,262,1,1.csv,2,FM14,NH4,No,NH4
1,2020-11-13,A083,1,1.csv,5,Elkhorn,NH4,No,NH4
1,2020-11-13,A192,1,1.csv,3,FM19,NH4,No,NH4
1,2020-11-13,214,2,2.csv,1,FM9,NH4,No,NH4
1,2020-11-13,272,2,2.csv,4,FM14,NH4,No,NH4
1,2020-11-13,A188,2,2.csv,2,FM19,NH4,No,NH4
1,2020-11-13,A185,2,2.csv,5,FM19,NH4,No,NH4
1,2020-11-13,A131,2,2.csv,3,U44,NH4,No,NH4
1,2020-11-13,266,3,3.csv,1,FM6,NH4,No,NH4
1,2020-11-13,A134,3,3.csv,3,U44,NH4,No,NH4
1,2020-11-13,261,3,3.csv,2,FM6,NH4,No,NH4
1,2020-11-13,A069,4,4.csv,1,Elkhorn,Ambient,No,Control
1,2020-11-13,A079,4,4.csv,4,Elkhorn,Ambient,No,Control
1,2020-11-13,A090,4,4.csv,2,Elkhorn,Ambient,No,Control
1,2020-11-13,471,4,4.csv,5,Elkhorn,Ambient,No,Control
1,2020-11-13,A006,4,4.csv,3,U44,Ambient,No,Control
1,2020-11-13,A174,5,5.csv,1,K2,Ambient,Yes,Heat
1,2020-11-13,277,8,8.csv,3,FM14,Ambient,No,Control
1,2020-11-13,224,5,5.csv,2,FM9,Ambient,Yes,Heat
1,2020-11-13,A156,5,5.csv,5,K2,Ambient,Yes,Heat
1,2020-11-13,A123,5,5.csv,3,U41,Ambient,Yes,Heat
1,2020-11-13,A128,6,6.csv,1,U44,Ambient,No,Control
1,2020-11-13,A168,6,6.csv,4,K2,Ambient,Yes,Heat
1,2020-11-13,334,6,6.csv,2,FM9,Ambient,No,Control
1,2020-11-13,A193,6,6.csv,5,FM19,Ambient,No,Control
1,2020-11-13,207,5,5.csv,4,FM9,Ambient,No,Control
1,2020-11-13,260,6,6.csv,3,FM6,Ambient,No,Control
1,2020-11-13,244,6,6.csv,6,FM6,Ambient,No,Control
1,2020-11-13,217,7,7.csv,1,FM9,Ambient,Yes,Heat
1,2020-11-13,A186,7,7.csv,3,FM19,Ambient,No,Control
1,2020-11-13,A178,7,7.csv,2,FM19,Ambient,No,Control
1,2020-11-13,274,7,7.csv,4,FM14,Ambient,Yes,Heat
1,2020-11-13,273,8,8.csv,1,FM14,Ambient,Yes,Heat
1,2020-11-13,275,8,8.csv,4,FM14,Ambient,Yes,Heat
1,2020-11-13,225,8,8.csv,2,FM9,Ambient,Yes,Heat
1,2020-11-13,263,8,8.csv,5,FM14,Ambient,No,Control
2,2020-11-14,A077,1,1.csv,1,Elkhorn,NH4,No,NH4
2,2020-11-14,220,1,1.csv,2,FM9,NH4,No,NH4
2,2020-11-14,262,1,1.csv,3,FM14,NH4,No,NH4
2,2020-11-14,A083,1,1.csv,4,Elkhorn,NH4,No,NH4
2,2020-11-14,A192,1,1.csv,5,FM19,NH4,No,NH4
2,2020-11-14,214,2,2.csv,1,FM9,NH4,No,NH4
2,2020-11-14,272,2,2.csv,2,FM14,NH4,No,NH4
2,2020-11-14,A188,2,2.csv,3,FM19,NH4,No,NH4
2,2020-11-14,A185,2,2.csv,4,FM19,NH4,No,NH4
2,2020-11-14,A131,2,2.csv,5,U44,NH4,No,NH4
2,2020-11-14,266,3,3.csv,1,FM6,NH4,No,NH4
2,2020-11-14,A134,3,3.csv,2,U44,NH4,No,NH4
2,2020-11-14,261,3,3.csv,3,FM6,NH4,No,NH4
2,2020-11-14,A069,4,4.csv,1,Elkhorn,Ambient,No,Control
2,2020-11-14,A079,9,9.csv,1,Elkhorn,Ambient,No,Control
2,2020-11-14,A090,9,9.csv,2,Elkhorn,Ambient,No,Control
2,2020-11-14,471,4,4.csv,2,Elkhorn,Ambient,No,Control
2,2020-11-14,A006,4,4.csv,3,U44,Ambient,No,Control
2,2020-11-14,A174,4,4.csv,4,K2,Ambient,Yes,Heat
2,2020-11-14,277,4,4.csv,5,FM14,Ambient,No,Control
2,2020-11-14,224,5,5.csv,1,FM9,Ambient,Yes,Heat
2,2020-11-14,A156,5,5.csv,2,K2,Ambient,Yes,Heat
2,2020-11-14,A123,5,5.csv,3,U41,Ambient,Yes,Heat
2,2020-11-14,A128,5,5.csv,4,U44,Ambient,No,Control
2,2020-11-14,A168,6,6.csv,1,K2,Ambient,Yes,Heat
2,2020-11-14,334,6,6.csv,2,FM9,Ambient,No,Control
2,2020-11-14,A193,6,6.csv,3,FM19,Ambient,No,Control
2,2020-11-14,207,6,6.csv,4,FM9,Ambient,No,Control
2,2020-11-14,260,6,6.csv,5,FM6,Ambient,No,Control
2,2020-11-14,244,7,7.csv,1,FM6,Ambient,No,Control
2,2020-11-14,217,7,7.csv,2,FM9,Ambient,Yes,Heat
2,2020-11-14,A186,7,7.csv,3,FM19,Ambient,No,Control
2,2020-11-14,A178,7,7.csv,4,FM19,Ambient,No,Control
2,2020-11-14,274,7,7.csv,5,FM14,Ambient,Yes,Heat
2,2020-11-14,273,8,8.csv,1,FM14,Ambient,Yes,Heat
2,2020-11-14,275,8,8.csv,2,FM14,Ambient,Yes,Heat
2,2020-11-14,225,8,8.csv,3,FM9,Ambient,Yes,Heat
2,2020-11-14,263,8,8.csv,4,FM14,Ambient,No,Control
